address	size	name	incoming_calls
00152150	16	_FINI_1	5
00152160	8	FUN_00152160	2
00152168	8	_FINI_0	4
00152170	20	FUN_00152170	3
00152184	28	FUN_00152184	2
001521a0	16	FUN_001521a0	2
001521b8	448	FUN_001521b8	200
00152378	120	FUN_00152378	1
001523f0	164	FUN_001523f0	3
00152494	84	FUN_00152494	1
001524e8	524	FUN_001524e8	45
001526f4	128	FUN_001526f4	0
00152774	144	FUN_00152774	347
0015280c	136	FUN_0015280c	8
00152894	232	FUN_00152894	1
0015297c	80	FUN_0015297c	1
001529cc	380	FUN_001529cc	1
00152b4c	180	FUN_00152b4c	1
00152c00	116	FUN_00152c00	1
00152c74	120	FUN_00152c74	1
00152cec	232	FUN_00152cec	11
00152dd4	2024	FUN_00152dd4	14
001535bc	13076	FUN_001535bc	1
001568d8	412	FUN_001568d8	12
00156a74	416	FUN_00156a74	3
00156c14	2256	FUN_00156c14	1
00158704	1596	FUN_00158704	4
00158d48	1596	FUN_00158d48	2
0015938c	1596	FUN_0015938c	1
001599d4	1616	FUN_001599d4	1
0015a030	140	FUN_0015a030	1
0015a0bc	100	FUN_0015a0bc	2
0015a120	452	FUN_0015a120	6
0015a2fc	128	FUN_0015a2fc	1
0015a37c	328	FUN_0015a37c	1
0015a4c4	236	FUN_0015a4c4	1
0015a5b0	464	FUN_0015a5b0	1
0015a780	1848	FUN_0015a780	4
0015aec0	1648	FUN_0015aec0	1
0015b538	216	FUN_0015b538	1
0015b610	156	FUN_0015b610	13
0015b6ac	96	FUN_0015b6ac	12
0015b70c	140	FUN_0015b70c	21
0015b798	116	FUN_0015b798	17
0015b80c	68	FUN_0015b80c	9
0015b850	64	FUN_0015b850	3
0015b890	284	FUN_0015b890	3
0015b9ac	3192	FUN_0015b9ac	8
0015c624	364	FUN_0015c624	30
0015c790	208	FUN_0015c790	8
0015c860	208	FUN_0015c860	30
0015c930	1452	FUN_0015c930	3
0015cedc	208	FUN_0015cedc	16
0015cfac	208	FUN_0015cfac	69
0015d07c	208	FUN_0015d07c	3
0015d14c	10440	FUN_0015d14c	2
0015fa58	148	FUN_0015fa58	1
0015faec	400	FUN_0015faec	7
0015fc7c	284	FUN_0015fc7c	2
0015fd98	84	FUN_0015fd98	2
0015fdec	156	FUN_0015fdec	3
0015fe88	396	FUN_0015fe88	1
00160014	104	FUN_00160014	1
0016007c	396	FUN_0016007c	1
00160208	208	FUN_00160208	3
